Word Mark,Goods and Services,Filing Date,Owner
HAPPY BELLY,"IC 029. US 046. G & S: Meat, poultry and game; fish, not live; meat extracts; jellies, jams, compotes; eggs; milk; milk products excluding ice cream, ice milk and frozen yogurt; edible oils and fats; Ajvar (preserved peppers); Albumen for culinary purposes; Albumin milk; Alginates for culinary purposes; Almonds, ground; Aloe vera prepared for human consumption; Anchovy, not live; Animal marrow for food; Apple pure; Bacon; Beans, preserved; Black pudding; Bone oil, edible; Broth; Broth concentrates; Butter; Caviar; Charcuterie; Cheese; Clams, not live; Cocoa butter for use as food; Coconut butter for use as food; Coconut, desiccated; Coconut fat; Coconut oil; Compotes; Condensed milk; Corn oil; Cranberry sauce (compote); Crayfish, not live; Cream (dairy products); chicken, meat and fish Croquettes; Crustaceans, not live; Curd; processed dates and dried dates; Edible birds' nests; Edible fats; Edible oils; Fat-containing mixtures for use as spreads on bread slices; Fatty substances for the manufacture of edible fats; Fish fillets; Fish meal for human consumption; Fish mousses; Fish, preserved; canned fish; Foods prepared from fish; Frosted fruits; Frozen fruits; Fruit-based snack food; Fruit chips; Fruit jellies; Fruit peel; Fruit, preserved; Fruit preserved in alcohol; Fruit pulp; Fruit salads; Fruit, stewed; Fruits, canned; Game, not live; unflavored and unsweetened gelatins; Gherkins; Ginger jam; Ham; Herrings, not live; Hummus (chickpea paste); Isinglass for food; Jams; Jellies for food; Kefir (milk beverage); Kimchi (fermented vegetable dish); Kumys (kumyss) (milk beverage); Lard for food; Lecithin for culinary purposes; Lentils, preserved; Linseed oil for culinary purposes; Liver; Liver pt; Lobsters, not live; Low-fat potato chips; Margarine; Marmalade; Meat; Meat jellies; Meat, preserved; cooked meat, canned; Milk beverages, milk predominating; Milk ferments for culinary purposes; Milk products excluding frozen yogurt, ice cream, and ice milk; Milk shakes; Mussels, not live; Non- alcoholic egg nog; Nuts, prepared; Olive oil for food; Olives, preserved; Onions, preserved; Oysters, not live; Palm kernel oil for food; Palm oil for food; Peanut butter; Peanuts, processed; Peas, preserved; Pectin for culinary purposes; Piccalilli; Pickles; Pollen prepared as foodstuff; Pork; Potato chips; Potato flakes; Potato fritters; Poultry, not live; Powdered eggs; Prawns, not live; Preparations for making bouillon; Preparations for making soup; Preserved garlic; Processed fish spawn; Processed edible seeds; Processed sunflower seeds; Prostokvasha (soured milk); Raisins; Rape oil for food; Rennet; Ryazhenka (fermented baked milk); Salmon, not live; Salted fish; Salted meats; Sardines, not live; Sauerkraut; Sausages; Sausages in batter; Sea-cucumbers, not live; Seaweed extracts for food; Sesame oil; Shellfish, not live; Shrimps, not live; Silkworm chrysalis, for human consumption; Smetana (sour cream); Snail eggs for human consumption; Soups; Soya milk (milk substitute); Spiny lobsters, not live; Suet for food; Sunflower oil for food; Toasted laver; Tofu; Tomato juice for cooking; Tomato pure; Tripe; Truffles, preserved; Tuna fish, not live; Vegetable juices for cooking; Vegetable mousses; Vegetable salads; Vegetable soup preparations; Whey; Whipped cream; White of eggs; Yogurt; Yolk of eggs; coconut meal; processed algae for human consumption; processed beets; processed citrus fruit; processed coconuts; processed cola nuts; prepared hazelnuts; processed juniper berries; processed peppers; maize oil for food; processed nettles; processed oranges; processed roots for food; non-alcoholic fruit extracts for use as ingredients of nutritional supplements and vitamins; binding agents for ice cream, namely, egg yolks and lecithin for culinary purposes IC 030. US 046. G & S: Coffee, tea, cocoa and artificial coffee, rice; tapioca and sago; flour, ices in the nature of confectionery; sugar, honey, treacle; yeast, baking-powder; salt; mustard; vinegar, spices; ice; Allspice; Almond confectionery; Aniseed for use as flavoring in food and drinks; Aromatic preparations for food in the nature of seasonings; Artificial coffee; Baking powder; Baking soda (bicarbonate of soda for cooking purposes); Bean meal; Beer vinegar; starch-based binding agents for ice cream; Breadcrumbs; Cake frosting (icing); Cake powder in the nature of cake flour; Capers; Caramels (candy); Celery salt; Chewing gum; Chicory-based coffee substitute; Chips, namely, bagel chips, corn chips, flour-based chips, grain-based chips, pita chips, pretzel chips, rice chips, tortilla chips; Chocolate; Chocolate-based beverages; Chocolate-based beverages with milk; Chocolate mousses; Chow-chow (condiment); Chutneys (condiments); Cinnamon (spice); Cloves (spice); Cocoa; Cocoa-based beverages; Cocoa beverages with milk; Coffee; Coffee-based beverages; Coffee beverages with milk; Coffee flavorings used in making food beverages; Condiments, namely, savory sauces; Confectionery for decorating Christmas trees; Cooking salt; Corn, milled; Corn, roasted; Couscous (semolina); Crackers; Cream of tartar for culinary purposes; Custard; Dressings for salad; Edible ices; Essences for foodstuffs, except etheric essences and essential oils; Food flavorings, other than essential oils; Flavorings, other than essential oils, for beverages; Flavorings, other than essential oils, for cakes; Frozen yogurt (confectionery ices); Fruit coulis (sauces); Fruit jelly candy; Garden herbs, preserved (seasonings); Ginger (powered spice); Glucose for culinary purposes; Gluten additives for culinary purposes; Gluten prepared as foodstuff for culinary purposes; Golden syrup; Ham glaze; Honey; Ice cream; Ice for refreshment; Ice, natural or artificial; Iced tea; Herbal and tea infusions, not medicinal; Ketchup (sauce); food-leavening agents; Linseed for human consumption; Lozenges (confectionery); Macaroni; Malt extract for food; Malt for food for human consumption; Maltose for food; Marinades; Mayonnaise; Meal, namely, bean, corn cracker, maize and mustard meal; Meat gravies; Meat pies; Meat tenderizers, for household purposes; Mint for confectionery; Molasses for food; Mustard meal; Natural sweeteners; Nutmegs; Palm sugar; Pasta; Pasta sauce; Pepper; Peppermint sweets; Peppers (seasonings); Pesto sauce; Pizzas; Popcorn; Potato flour for food; Powders for ice cream; Starch-based preparations for stiffening whipped cream; Puddings; Quiches; Ravioli; Relish (condiment); Rice-based snack food; Rice cakes; Royal jelly for food purposes; Saffron (seasoning); Sago; Salt for preserving foodstuffs; Sausage binding materials; Sea water for cooking; Seasonings; Seaweed (condiment); Sorbets (ices); Soya flour; Soya sauce; Spaghetti; Spring rolls; Star aniseed; Starch for food; Sugar; Sushi; Tabbouleh; Tacos; Tapioca; Tapioca flour for food; Tea; Tea-based beverages; Thickening agents for cooking foodstuffs; Tomato sauce; Tortillas; Turmeric for food; Unroasted coffee; Vanilla flavoring for food or beverages; Vanillin (vanilla substitute) for use as a food flavoring; Vegetal preparations for use as coffee substitutes; Vinegar; Waffles; Wheat flour; Yeast; flavored and sweetened gelatins; malt for food purposes; hop cones extract used as flavoring for foods and beverages; Hops extract used as flavoring for foods and beverages; roasted and ground sesame seeds; processed wheat; buttercream icing; buttercream fillings for cakes; Maize flour; processed grains, namely, rye IC 031. US 001 046. G & S: Fresh fruits and vegetables; seeds, namely, agricultural seeds, crop seeds, plant seeds, flower seeds unprocessed edible seeds, bird seed, wheat seed, grass seed; natural plants and flowers; foodstuffs for animals; malt in the nature of unprocessed grain for brewing and distilling; Algae for animal consumption; unprocessed algae for human consumption; Algarovilla for animal consumption; Almonds, fresh ; Live Aloe vera plants; Animal foodstuffs; Bagasses of cane (raw material); Unprocessed barley; Beans, fresh; unprocessed beets, fresh beets; fresh berries, fresh fruits; Beverages for pets; Bird food; Bran mash for animal consumption; Chestnuts, fresh; fresh Chicory; cut Christmas trees; live Christmas trees; fresh Citrus fruit; Cocoa beans, raw; Coconut shell; fresh Coconuts; fresh Cola nuts; Copra; Cucumbers, fresh; Cuttle bone for birds; Dog biscuits; Draff; Edible chews for animals; Fish, live; Fish meal for animal consumption; Flowers, dried, for decoration; Flowers, natural; Fodder; Fruit, fresh; Garden herbs, fresh; Grains for animal consumption; Grapes, fresh; Hay; fresh Hazelnuts; Hop cones, unprocessed; Hops, unprocessed; unprocessed Juniper berries; Leeks, fresh; Lemons, fresh; Lentils, fresh; Lettuce, fresh; Linseed for animal consumption; Linseed meal for animal consumption; Lobsters, live; raw Locust beans; Maize cake for cattle feed; Malt for brewing and distilling; Marc, namely residue of pressed fruit; fresh vegetable marrows; Fish meal, peanut meal, linseed meal and flaxseed meal for animals; Mushrooms, fresh; Mussels, live; unprocessed Nettles; Nuts, unprocessed; Oil cake for animal consumption; Olives, fresh; Onions, being fresh vegetables; fresh Oranges; Oysters, live; Palm trees, live; Palms (leaves of the palm tree); Peanut cake for animals; Peanut meal for animals; Peanuts, fresh; Peas, fresh; live peppers plants; Pet food; live plants; plants, dried, for decoration; Pollen in the form of raw material for industrial use; Potatoes, fresh; Raw barks; Residue in a still after distillation for animal consumption; fresh Rhubarb; Rice meal for animal forage; Rice, unprocessed; raw roots for food; unprocessed rye; edible sesame, unprocessed; unprocessed Shellfish, live; Silkworm eggs; Silkworms, live; Sod; Spinach, fresh; Sugarcane; Truffles, fresh; Vegetables, fresh; Vine plants, live; unprocessed wheat; Wheat germ for animal consumption; Wreaths of natural flowers; Yeast for animal consumption, fish, live; Anchovy, live; Herrings, live; Salmon, live; Sardines, live; Dates; namely, fresh dates, raw dates and unprocessed dates IC 032. US 045 046 048. G & S: Beers; mineral and aerated waters and other non-alcoholic beverages, namely, soft drinks; fruit beverages and fruit juices; syrups and other preparations for making beverages, namely, concentrates and powders; Aerated water; Aloe vera drinks, non-alcoholic; Aperitifs, non-alcoholic; Beer; Beer wort; Cider, non-alcoholic; Cocktails, non-alcoholic; Essences, not in the nature of essential oils for making non-alcoholic beverages; Extracts of hops for making beer; Fruit juice; Fruit nectars, non-alcoholic; Ginger ale; Grape must, unfermented; Isotonic beverages; Kvass (non-alcoholic beverage); Lemonades; Lithia water; Malt beer; Malt wort; Milk of almonds (beverage); Mineral water (beverages); Must; Non-alcoholic beverages, namely, flavored with tea or coffee; Non-alcoholic fruit extracts used in the preparation of beverages; Non-alcoholic fruit juice beverages; Non-alcoholic honey-based beverages; Orgeat being syrup for making beverages; Pastilles for effervescing beverages; Non-alcoholic peanut milk beverage, not being milk substitute; Powders for effervescing beverages; Preparations for making aerated water; Preparations for making non-alcoholic beverages, namely, soft drinks and fruit drinks; Preparations for making liqueurs, not in the nature of essential oils; Preparations for making mineral water; Sarsaparilla (non-alcoholic beverage); Seltzer water; Smoothies; Soda water; Sorbets (beverages); Syrups for beverages; Syrups for lemonade; Table waters; Tomato juice (beverage); Vegetable juices (beverages); Waters (beverages); Whey beverages; Hop cone extracts for making beer; Hops extracts for making beer IC 033. US 047 049. G & S: Alcoholic beverages except beers; Alcoholic beverages containing fruit; Alcoholic beverages, except beer; Alcoholic essences; Alcoholic extracts; Anise (liqueur); Anisette (liqueur); Aperitifs; Arak (arrack); alcoholic bitters; Brandy; hard cider; Prepared alcoholic cocktails; Curacao; Digestifs (liqueurs and spirits); Distilled beverages, namely, liquor; Fruit extracts, alcoholic; Gin; Hydromel (mead); Kirsch; Liqueurs; Nira (sugarcane-based alcoholic beverage); Peppermint liqueurs; Perry; Piquette; Pre-mixed alcoholic beverages, other than beer-based; Rice alcohol; Rum; Sake; Spirits (beverages); Vodka; Whisky; Wine; marc brandy IC 035. US 100 101 102. G & S: Advertising services; business management; business administration services; providing office functions; retail store services and online retail store services featuring Ajvar (preserved peppers), Albumen for culinary purposes, Albumin milk, Alginates for culinary purposes, Almonds, ground, Aloe vera prepared for human consumption, Anchovy, Apple pure, Bacon, Beans, preserved, Black pudding, Bone oil, edible, Broth, Broth concentrates, Butter, Buttercream, Caviar, Charcuterie, Cheese, Clams (not live), Cocoa butter, Coconut butter, Coconut, desiccated, Coconut fat, Coconut oil, Compotes, Condensed milk, Corn oil, Cranberry sauce (compote), Crayfish, not live, Cream (dairy products), Croquettes, Crustaceans, not live, Curd, Dates, Edible birds' nests, Edible fats, Edible oils, Eggs, Fat-containing mixtures for bread slices, Fatty substances for the manufacture of edible fats, Fish fillets, Fish meal for human consumption, Fish mousses, Fish, not live, Fish, preserved, Fish, tinned (canned (Am)), Foods prepared from fish, Fruit chips, Fruit jellies, Fruit peel, Fruit, preserved, Fruit preserved in alcohol, Fruit pulp, Fruit salads, Fruit, stewed, Fruits, tinned (canned (Am)), Game, not live, Gelatine, Gherkins, Ginger jam, Ham, Herrings, Hummus (chickpea paste), Isinglass for food, Jams, Jellies for food, Kefir (milk beverage), Kimchi (fermented vegetable dish), Kumys (kumyss) (milk beverage), Lard for food, Lecithin for culinary purposes, Lentils, preserved, Linseed oil for culinary purposes, Liver, Liver pt, Lobsters, not live, Low-fat potato chips, Margarine, Marmalade, Meat, Meat extracts, Meat jellies, Meat, preserved, Meat, tinned (canned (Am)), Mushrooms, preserved, Mussels, not live, Non-alcoholic egg nog, Nuts, prepared, Olive oil for food, Olives, preserved, Onions, preserved, Oysters, not live, Palm kernel oil for food, Palm oil for food, Peanut butter, Peanuts, processed, Peas, preserved, Pectin for culinary purposes, Piccalilli, Pickles, Pollen prepared as foodstuff, Pork, Potato chips, Potato flakes, Potato fritters, Poultry, not live, Powdered eggs, Prawns, not live, Preparations for making bouillon, Preparations for making soup, Preserved garlic, Processed fish spawn, Processed seeds, Processed sunflower seeds, Prostokvasha (soured milk), Raisins, Rape oil for food, Rennet, Ryazhenka (fermented baked milk), Salmon, Salted fish, Salted meats, Sardines, Sauerkraut, Sausages, Sausages in batter, Sea- cucumbers, not live, Seaweed extracts for food, Sesame oil, Shellfish, not live, Shrimps, not live, Silkworm chrysalis, for human consumption, Smetana (sour cream), Snail eggs for consumption, Soups, Soya beans, preserved, for food, Soya milk (milk substitute), Spiny lobsters, not live, Suet for food, Sunflower oil for food, Toasted laver, Tofu, Tomato juice for cooking, Tomato pure, Tripe, Truffles, preserved, Tuna fish, Vegetable juices for cooking, Vegetable mousses, Vegetable salads, Vegetable soup preparations, Vegetables, cooked, Vegetables, dried, Vegetables, preserved, Vegetables, tinned (canned (Am)), Whey, White of eggs, Yogurt, Yolk of eggs, Allspice, Almond confectionery, Aniseed, Aromatic preparations for food, Artificial coffee, Baking powder, Baking soda (bicarbonate of soda for cooking purposes), Barley meal, Bean meal, Bee glue, Beer vinegar, Breadcrumbs, Cake frosting (icing), Cake powder, Capers, Celery salt, Cheeseburgers (sandwiches), Chewing gum, Chicory (coffee substitute), Chow-chow (condiment), Chutneys (condiments), Cinnamon (spice), Cloves (spice), Coffee, Coffee-based beverages, Coffee beverages with milk, Coffee flavorings, Condiments, Cooking salt, Corn flakes, Corn meal, Corn, milled, Corn, roasted, Couscous (semolina), Crackers, Cream of tartar for culinary purposes, Crushed barley, Curry (spice), Custard, Dressings for salad, Edible ices, Essences for foodstuffs, except etheric essences and essential oils, Farinaceous foods, Ferments for pastes, Flavorings, other than essential oils, Flavorings, other than essential oils, for beverages, Flavorings, other than essential oils, for cakes, Flourmilling products, Fruit coulis (sauces), Fruit jellies (confectionery), Garden herbs, preserved (seasonings), Ginger (spice), Glucose for culinary purposes, Gluten additives for culinary purposes, Gluten prepared as foodstuff, Golden syrup, Groats for human food, Gruel, with a milk base, for food, Ham glaze, Hominy, Hominy grits, Honey, Husked barley, Iced tea, Infusions, not medicinal, Ketchup (sauce), Leaven, Linseed for human consumption, Lozenges (confectionery), Macaroni, Malt extract for food, Malt for human consumption, Maltose, Marinades, Mayonnaise, Meal, Meat gravies, Meat pies, Meat tenderizers, for household purposes, Mint for confectionery, Molasses for food, Muesli, Mustard, Mustard meal, Natural sweeteners, Nutmegs, Palm sugar, Pasta, Pasta sauce, Pepper, Peppermint sweets, Peppers (seasonings), Pesto (sauce), Pizzas, Popcorn, Potato flour for food, Preparations for stiffening whipped cream, Puddings, Quiches, Ravioli, Relish (condiment), Rice, Rice- based snack food, Rice cakes, Royal jelly, Saffron (seasoning), Sago, Salt for preserving foodstuffs, Sandwiches, Sausage binding materials, Sea water for cooking, Seasonings, Seaweed (condiment), Semolina, Soya flour, Soya sauce, Spaghetti, Spices, Spring rolls, Star aniseed, Starch for food, Sugar, Sushi, Tabbouleh, Tacos, Tapioca, Tapioca flour for food, Tea, Tea-based beverages, Thickening agents for cooking foodstuffs, Tomato sauce, Tortillas, Turmeric for food, Unroasted coffee, Vanilla (flavoring) (flavouring), Vanillin (vanilla substitute), Vegetal preparations for use as coffee substitutes, Vinegar, Waffles, Wheat flour, Wheat germ for human consumption, Yeast, Algae for human or animal consumption, Algarovilla for animal consumption, Almonds (fruits), Aloe vera plants, Animal fattening preparations, Animal foodstuffs, Aromatic sand for pets (litter), Bagasses of cane (raw material), Barley, Beans, fresh, Beet, Berries, fresh fruits, Beverages for pets, Bird food, Bran, Bran mash for animal consumption, Bred stock, Bulbs, Bushes, unprocessed, Chestnuts, fresh, Chicory roots, Chicory (salad), Christmas trees, Citrus fruit, Cocoa beans, raw, Coconut shell, Coconuts, Cola nuts, Copra, Crayfish, live, Crustaceans, live, Cucumbers, fresh, Cuttle bone for birds, Dog biscuits, Draff, Edible chews for animals, Eggs for hatching, fertilised, Fish, live, Fish meal for animal consumption, Flax meal (fodder), Flowers, dried, for decoration, Flowers, natural, Fodder, Fruit, fresh, Garden herbs, fresh, Grains for animal consumption, Grapes, fresh, Groats for poultry, Hay, Hazelnuts, Hop cones, Hops, Juniper berries, Leeks, fresh, Lemons, fresh, Lentils, fresh, Lettuce, fresh, Lime for animal forage, Linseed for animal consumption, Linseed meal for animal consumption, Lobsters, live, Locust beans, Maize, Maize cake for cattle, Malt for brewing and distilling, Marc, Marrows, Mash for fattening livestock, Meal for animals, Menagerie animals, Mushroom spawn for propagation, Mushrooms, fresh, Mussels, live, Nettles, Nuts (fruits), Oil cake, Olives, fresh, Onions, fresh vegetables, Oranges, Oysters, live, Palm trees, Palms (leaves of the palm tree), Peanut cake for animals, Peanut meal for animals, Peanuts, fresh, Peas, fresh, Peppers (plants), Pet food, Pine cones, Plant seeds, Plants, Plants, dried, for decoration, Pollen (raw material), Potatoes, fresh, Poultry, live, Rhubarb, Rice meal for forage, Rice, unprocessed, Roots for food, Rose bushes, Rough cork, Rye, Sea-cucumbers, live, Seed germ for botanical purposes, Seedlings, Sesame, Shellfish, live, Spinach, fresh, Spiny lobsters, live, Sugarcane, Truffles, fresh, Vegetables, fresh, Vine plants, Wheat, Wheat germ for animal consumption, Wreaths of natural flowers, Yeast for animal consumption, Aerated water, Aloe vera drinks, non-alcoholic, Aperitifs, nonalcoholic, Beer, Beer wort, Cider, nonalcoholic, Cocktails, non-alcoholic, Essences for making beverages, Extracts of hops for making beer, Fruit juice, Fruit nectars, non-alcoholic, Ginger ale, Grape must, unfermented, Isotonic beverages, Kvass (non- alcoholic beverage), Lemonades, Lithia water, Malt beer, Malt wort, Milk of almonds (beverage), Mineral water (beverages), Must, Non-alcoholic beverages, Non-alcoholic fruit extracts, Non-alcoholic fruit juice beverages, Nonalcoholic honey-based beverages, Orgeat, Pastilles for effervescing beverages, Peanut milk (nonalcoholic beverage), Powders for effervescing beverages, Preparations for making aerated water, Preparations for making beverages, Preparations for making liqueurs, Preparations for making mineral water, Sarsaparilla (non-alcoholic beverage), Seltzer water, Smoothies, Soda water, Sorbets (beverages), Syrups for beverages, Syrups for lemonade, Table waters, Tomato juice (beverage), Vegetable juices (beverages), Waters (beverages), Whey beverages, Alcoholic beverages (except beers), Alcoholic beverages containing fruit, Alcoholic beverages, except beer, Alcoholic essences, Alcoholic extracts, Anise (liqueur), Anisette (liqueur), Aperitifs, Arak (arrack), Bitters, Brandy, Cider, Cocktails, Curacao, Digesters (liqueurs and spirits), Distilled beverages, Fruit extracts, alcoholic, Gin, Hydromel (mead), Kirsch, Liqueurs, Nira (sugar cane based alcoholic beverage), Peppermint liqueurs, Perry, Piquette, Pre-mixed alcoholic beverages, other than beer-based, Rice alcohol, Rum, Sake, Spirits (beverages), Vodka, Whisky, Wine; management of a retail store and or supermarket; Retail store services in the field of fresh and prepared foods, cosmetics, cleaning supplies, beauty supplies, personal care products, pet products, pet food, tissues, toilet paper, napkins; customer loyalty rewards program for shoppers for commercial, promotional and/or advertising purposes; information, advisory and consultancy services relating to the aforesaid IC 043. US 100 101. G & S: Providing temporary accommodation at hotels; Rental of cooking apparatus; Rental of drinking water dispensers; Reservations of temporary accommodation; providing information online in the fields of cooking, food preparation, wine characteristics, wine and food pairings, ingredients and recipes","July 12, 2016","(APPLICANT) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVE N SEATTLE WASHINGTON 98109"
HOUSE OF BOHO,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, blouses, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, skirts, tunics, tank tops, dresses, tracksuits, leggings, sweaters, pullovers, athletic tights, scarves, jackets and coats, raincoats, fashion headbands and hats, belts, sleepwear, lingerie, socks, gloves, and hosiery","April 5, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
HS HOUSE & SHIELDS CLOTHING COMPANY,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, tunics, tank tops, sweaters, pullovers, tracksuits, scarves, jackets and coats, raincoats, hats, socks, gloves","October 23, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
ISLE BAY,"IC 025. US 022 039. G & S: Clothing, namely, shirts, pants, slacks, shorts. FIRST USE: 20180418. FIRST USE IN COMMERCE: 20180418","November 10, 2017","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Seattle WASHINGTON 98109"
JAMES & ERIN,"IC 025. US 022 039. G & S: Clothing, namely, blouses, shirts, t-shirts, sweatshirts, pants, slacks, shorts, skirts, tunics, tank tops, dresses, sweaters, scarves, jackets and coats, raincoats, sleepwear, lingerie. FIRST USE: 20170630. FIRST USE IN COMMERCE: 20170630","March 23, 2015","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Attn: Trademarks Seattle WASHINGTON 98109"
JUMP CLUB,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, blouses, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, skirts, tunics, tank tops, dresses, tracksuits, leggings, sweaters, pullovers, athletic tights, scarves, jackets and coats, raincoats, fashion headbands and hats, belts, sleepwear, lingerie, socks, gloves, and hosiery","April 10, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
KAILEE ATHLETICS,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, blouses, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, skirts, tunics, tank tops, dresses, tracksuits, leggings, sweaters, pullovers, athletic tights, lingerie, carves, jackets and coats, raincoats, fashion headbands and hats, belts, sleepwear, socks, gloves, and hosiery","April 3, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
KINDLE,"IC 009. US 021 023 026 036 038. G & S: Cases, covers, [ and stands ] for electronic book readers; power adapters; USB cables; computer hardware; [ computer software development kit consisting of computer software development tools for the development of content and service delivery across global computer networks, wireless networks, and electronic communications networks; ] downloadable [ audio works, ] visual works, [ audiovisual works ] and electronic publications featuring books, magazines, newspapers, periodicals, [ newsletters, ] journals and manuals on a variety of topics; [ application development computer software programs; ] computer software for transmitting, sharing, receiving, downloading, displaying and transferring content, text, visual works, audio works, audiovisual works, literary works, data, files, documents and electronic works via portable electronic devices and computers; computer software for converting content, text, visual works, audio works, audiovisual works, literary works, data, files, documents and electronic works into a format compatible with portable electronic devices and computers; computer software enabling content, text, visual works, audio works, audiovisual works, literary works, data, files, documents and electronic works to be downloaded to and accessed on a computer or other portable consumer electronic device. FIRST USE: 20071119. FIRST USE IN COMMERCE: 20071119 IC 035. US 100 101 102. G & S: Retail store services featuring downloadable audio works, visual works, audiovisual works, computer software, and electronic publications featuring books, magazines, newspapers, periodicals, newsletters, journals and manuals on a variety of topics provided via global computer networks, wireless networks, and electronic communications networks; retail store services featuring downloadable audio works, visual works, audiovisual works, computer software, and electronic publications featuring books, magazines, newspapers, periodicals, newsletters, journals and manuals on a variety of topics for use on a portable electronic device. FIRST USE: 20071119. FIRST USE IN COMMERCE: 20071119 IC 042. US 100 101. G & S: [ Design and development of computer software; ] computer software installation and maintenance; providing a website featuring technical information relating to computer software and hardware; computer hardware, software, application, and network consulting services; [ computer consulting; ] providing technical troubleshooting support for computer hardware namely, diagnosing hardware problems; providing technical troubleshooting support for computer software, networks, databases, and applications; [ computer programming; ] document data transfer from one computer format to another; hosting of digital content on global computer networks, wireless networks, and electronic communications networks; providing an online network that enables users to access and share content, text, visual works, audio works, audiovisual works, literary works, data, files, documents and electronic works; providing a web site that gives computer users the ability to transmit, cache, receive, download, stream, broadcast, display, format, transfer and share content, text, visual works, audio works, audiovisual works, literary works, data, files, documents and electronic works; providing search platforms to allow users to request and receive, content, text, visual works, audio works, audiovisual works, literary works, data, files, documents and electronic works; providing temporary use of non-downloadable computer software and online facilities to enable users to access and download computer software; providing temporary use of online non-downloadable computer software that generates customized recommendations of software applications based on user preferences. FIRST USE: 20071119. FIRST USE IN COMMERCE: 20071119","January 21, 2010","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Attn: Trademarks Seattle WASHINGTON 98109"
KITZY,IC 005. US 005 006 018 044 046 051 052. G & S: Dietary supplements for pets; Feed supplements for pets; Nutritional supplements for animals; Protein supplements for animals; Vitamins for pets IC 021. US 002 013 023 029 030 033 040 050. G & S: Litter boxes for pets; Pet bowls IC 028. US 022 023 038 050. G & S: Pet toys IC 031. US 001 046. G & S: Animal foodstuffs; Aromatic sand being litter for pets; Edible pet treats; Pet food,"October 28, 2020","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave N Seattle WASHINGTON 98109"
LARK & RO,"IC 025. US 022 039. G & S: Clothing, namely, blouses, shirts, t-shirts, tank tops, tunics, sweaters, sweatshirts, jackets, coats, dresses, skirts, pants, short. FIRST USE: 20170930. FIRST USE IN COMMERCE: 20170930","January 19, 2015","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Attn: Trademarks Seattle WASHINGTON 98109"
LEAGUE OF OUTSTANDING KIDS LOOK,"IC 025. US 022 039. G & S: children's clothing, namely, jackets, dresses, shirts, t-shirts, tank tops, pants, denim jeans, skirts, sweatshirts, shorts, sleepwear. FIRST USE: 20200131. FIRST USE IN COMMERCE: 20200131","August 30, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave North Attn: Trademarks Seattle WASHINGTON 98109"
LEMON LABEL PAPER SUPPLY,IC 016. US 002 005 022 023 029 037 038 050. G & S: Paper; stationery; greetings cards; note cards; envelopes; wrapping paper; paper tags; paper gift tags; notebooks; pencils. FIRST USE: 20161100. FIRST USE IN COMMERCE: 20161100,"May 10, 2016","(REGISTRANT) Whole Foods Market IP, L.P. WFM IP Management, Inc., a Delaware corporation LIMITED PARTNERSHIP DELAWARE 550 Bowie Street, 6th Floor Austin TEXAS 78703 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
LILY PARKER,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, blouses, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, skirts, tunics, tank tops, dresses, tracksuits, leggings, sweaters, pullovers, athletic tights, lingerie, carves, jackets and coats, raincoats, fashion headbands and hats, belts, sleepwear, socks, gloves, and hosiery","April 3, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
